Contract,Party Names,Effective Date,Expiration Date,Renewal,Payment,Termination,Governing Law,Penalties
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,✅,✅,✅,✅,✅,❌,✅,✅
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.PDF,✅,❌,✅,❌,❌,✅,✅,✅
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,✅,✅,✅,✅,⚠️,❌,✅,❌
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.PDF,✅,✅,✅,✅,❌,❌,✅,✅
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009.PDF",✅,❌,✅,❌,⚠️,❌,✅,✅
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.PDF,✅,✅,✅,✅,❌,✅,✅,❌
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC..PDF",✅,✅,❌,✅,❌,✅,✅,❌
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.PDF,✅,⚠️,✅,✅,⚠️,❌,✅,❌
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT.PDF,✅,❌,✅,✅,⚠️,❌,✅,⚠️
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.PDF,✅,✅,✅,❌,❌,⚠️,✅,⚠️
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT.PDF,✅,⚠️,✅,✅,❌,⚠️,✅,❌
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT - Escrow Agreement.pdf,⚠️,✅,❌,✅,❌,✅,✅,❌
"KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT.PDF",✅,✅,✅,✅,❌,✅,✅,✅
